Buy Time,Buy Price,Buy RSI,Sell Time,Sell Price,Sell RSI,PnL
2020-01-09 15:30:00,46580,14.771997430956972,2020-01-10 13:30:00,46810,38.87375113533152,230
2020-01-22 15:30:00,46181,18.964143426294825,2020-01-23 09:30:00,45890,34.543010752688176,-291
2020-01-28 15:30:00,45552,16.935166994106083,2020-01-30 05:30:00,46124,34.642541924095326,572
2020-01-29 03:30:00,45475,10.754481033764066,2020-01-30 05:30:00,46124,34.642541924095326,649
2020-01-29 05:30:00,45515,6.055287406757358,2020-01-30 05:30:00,46124,34.642541924095326,609
2020-02-12 03:30:00,45620,19.374369323915232,2020-02-13 03:30:00,45809,40.69952305246423,189
2020-02-26 11:30:00,46765,19.805680119581467,2020-02-27 11:30:00,47037,39.78444236176195,272
2020-02-26 13:30:00,46628,14.036885245901644,2020-02-27 11:30:00,47037,39.78444236176195,409
2020-02-28 17:30:00,44066,17.422161172161182,2020-03-02 03:30:00,45239,35.15085423482371,1173
2020-03-13 05:30:00,42832,17.903767251025727,2020-03-17 13:30:00,35876,30.302509453420413,-6956
2020-03-13 17:30:00,40460,13.790684624017956,2020-03-17 13:30:00,35876,30.302509453420413,-4584
2020-03-16 09:30:00,35629,10.187747035573125,2020-03-17 13:30:00,35876,30.302509453420413,247
2020-03-16 11:30:00,35779,7.141397629750728,2020-03-17 13:30:00,35876,30.302509453420413,97
2020-04-21 09:30:00,41600,17.576791808873722,2020-04-22 09:30:00,41625,32.107774347459994,25
2020-04-22 05:30:00,41205,14.275700934579447,2020-04-22 09:30:00,41625,32.107774347459994,420
2020-06-03 09:30:00,49055,17.788089713843775,2020-06-04 09:30:00,48660,41.075949367088604,-395
2020-06-03 11:30:00,48505,14.95934959349593,2020-06-04 09:30:00,48660,41.075949367088604,155
2020-06-15 07:30:00,46975,18.258426966292134,2020-06-15 13:30:00,47236,31.31898454746137,261
2020-06-15 09:30:00,46980,15.185077236957156,2020-06-15 13:30:00,47236,31.31898454746137,256
2020-08-11 15:30:00,67222,16.849816849816847,2020-08-12 17:30:00,66976,34.07079646017698,-246
2020-08-11 17:30:00,66347,9.581742296421282,2020-08-12 17:30:00,66976,34.07079646017698,629
